BookingID,AmenityID,ExtraCharge,Tips
1, 2, 30.15, 3.30
1, 4, 10.00, 0.00
2, 1, 5.49, 0.00
2, 6, 6.99, 1.00 
3, 3, 12.49, 2.00
4, 1, 5.49, 0.00
4, 4, 10.00, 0.00
5, 1, 5.49, 0.00
5, 5, 4.99, 0.00
6, 4, 10.00, 0.00
7, 1, 5.49, 0.00
8, 1, 5.49, 0.00
8, 2, 24.36, 3.24
9, 3, 11.42, 1.50
10, 1, 5.49, 0.00
10, 4, 10.00, 0.00
12, 1, 5.49, 0.00
12, 3, 7.49, 2.00
14, 6, 5.49, 0.00
15, 4, 10.00, 0.00
16, 1, 5.49, 0.00
17, 1, 5.49, 0.00
18, 1, 5.49, 0.00
19, 2, 43.25, 6.00
20, 1, 5.49, 0.00
22, 1, 5.49, 0.00
22, 4 ,10.00, 0.00
23, 1, 5.49, 0.00
24, 5, 4.99, 0.00
